Date,code,open,high,low,close,volume,news,rate,Dollar,label
2007-01-04,6861,30000,30250,29330,29440,129100,0.0,1,119.43,0
2007-01-05,6861,29740,29900,29490,29630,157700,0.0,0,118.7,1
2007-01-09,6861,29300,29340,29020,29110,195300,0.0,1,118.82,-1
2007-01-10,6861,28950,29100,28800,28940,172200,0.0,1,119.43,-1
2007-01-11,6861,28950,29250,28300,28560,178100,0.0,0,119.67,-1
2007-01-12,6861,28860,29200,28810,28960,139100,0.0,1,120.67,1
2007-01-15,6861,29170,29390,28970,29150,121000,0.0,0,120.14,1
2007-01-16,6861,29010,29220,28940,29160,117600,0.0,0,120.61,1
2007-01-17,6861,29000,29160,28710,29050,95700,0.0,1,120.89,-1
2007-01-18,6861,28910,29190,28870,29090,92400,0.0,0,120.72,1
2007-01-19,6861,28820,29050,28740,28770,98900,0.0,0,121.42,-1
2007-01-22,6861,29050,29150,28540,28640,179500,0.0,0,121.37,-1
2007-01-23,6861,28690,28870,28520,28710,109200,0.0,0,121.65,1
2007-01-24,6861,28810,28970,28730,28770,78100,0.0,1,121.79,1
2007-01-25,6861,28800,28840,28520,28580,127300,0.0,1,121.03,-1
2007-01-26,6861,28520,28600,28200,28270,135800,0.0,1,121.57,-1
2007-01-29,6861,27370,27800,27310,27490,332900,0.0,1,121.73,-1
2007-01-30,6861,27600,27630,27230,27280,192500,0.0,0,121.65,-1
2007-01-31,6861,27580,27580,27000,27080,188800,0.0,1,121.73,-1
2007-02-01,6861,27380,27690,27240,27540,256400,0.0,1,120.95,1
2007-02-02,6861,27950,28080,27810,27860,253800,0.0,1,120.85,1
2007-02-05,6861,29360,29360,28690,29110,505400,0.0,0,121.1,1
2007-02-06,6861,29010,29040,28660,28710,113400,0.0,1,120.17,-1
2007-02-07,6861,28720,28820,28610,28670,191600,0.0,1,120.21,-1
2007-02-08,6861,28650,28800,28510,28610,162700,0.0,0,120.75,-1
2007-02-09,6861,28830,29120,28600,28930,136400,0.0,1,121.31,1
2007-02-13,6861,28030,28080,27870,28010,391700,0.0,0,121.75,-1
2007-02-14,6861,27500,28000,27480,27900,329500,0.0,1,121.31,-1
2007-02-15,6861,27860,28210,27860,28090,204800,0.0,1,120.34,1
2007-02-16,6861,27980,27990,27790,27860,118500,0.0,1,119.59,-1
2007-02-19,6861,27560,27950,27520,27890,145900,0.0,0,119.42,1
2007-02-20,6861,27900,27900,27400,27560,212700,0.0,0,119.76,-1
2007-02-21,6861,27400,27650,27400,27510,105800,0.0,1,120.34,-1
2007-02-22,6861,27800,28080,27800,28060,129000,0.0,0,121.13,1
2007-02-23,6861,28300,28330,28000,28160,262000,0.0,0,121.55,1
2007-02-26,6861,28680,28760,28370,28610,270800,0.0,1,120.94,1
