Date,code,open,high,low,close,volume,news,rate,Dollar,label
2007-01-04,4063,8040,8050,8010,8030,578100,0.0,1,119.43,0
2007-01-05,4063,8050,8070,7810,7850,1401900,0.0,0,118.7,-1
2007-01-09,4063,7860,7950,7800,7890,1566000,0.0,1,118.82,1
2007-01-10,4063,7880,7900,7690,7730,1829500,0.0,1,119.43,-1
2007-01-11,4063,7720,7800,7620,7680,1548000,0.0,1,119.67,-1
2007-01-12,4063,7730,7890,7680,7830,2354200,0.0,1,120.67,1
2007-01-15,4063,7840,7870,7780,7820,1924400,0.0,1,120.14,-1
2007-01-16,4063,7850,7960,7830,7840,2719900,0.0,0,120.61,1
2007-01-17,4063,7900,8080,7820,8050,3757000,0.0,1,120.89,1
2007-01-18,4063,8050,8050,7970,7980,1968000,0.0,1,120.72,-1
2007-01-19,4063,7920,7970,7900,7920,1516900,0.0,0,121.42,-1
2007-01-22,4063,7950,8060,7930,8030,1693700,0.0,1,121.37,1
2007-01-23,4063,8040,8160,8020,8130,2384500,0.0,0,121.65,1
2007-01-24,4063,8160,8170,8050,8070,1789000,0.0,0,121.79,-1
2007-01-25,4063,8060,8070,7960,8000,1686700,0.0,1,121.03,-1
2007-01-26,4063,7900,7970,7850,7910,1863400,0.0,0,121.57,-1
2007-01-29,4063,7810,7990,7810,7900,2064300,0.0,0,121.73,-1
2007-01-30,4063,7870,8000,7860,7910,1990700,0.0,0,121.65,1
2007-01-31,4063,7880,7970,7790,7840,1987200,0.0,0,121.73,-1
2007-02-01,4063,7870,7940,7830,7910,1662100,0.0,1,120.95,1
2007-02-02,4063,7950,8000,7830,7840,1476300,0.0,1,120.85,-1
2007-02-05,4063,7750,7790,7690,7710,1946000,0.0,1,121.1,-1
2007-02-06,4063,7700,7770,7690,7760,1728900,0.0,1,120.17,1
2007-02-07,4063,7720,7730,7550,7630,2492100,0.0,0,120.21,-1
2007-02-08,4063,7690,7690,7500,7580,1748600,0.0,1,120.75,-1
2007-02-09,4063,7550,7670,7520,7620,2155500,0.0,1,121.31,1
2007-02-13,4063,7590,7630,7430,7500,2777900,0.0,1,121.75,-1
2007-02-14,4063,7500,7630,7480,7570,2182700,0.0,0,121.31,1
2007-02-15,4063,7670,7730,7650,7700,1672900,0.0,1,120.34,1
2007-02-16,4063,7680,7750,7640,7750,1250900,0.0,1,119.59,1
2007-02-19,4063,7740,7740,7660,7690,1073500,0.0,0,119.42,-1
2007-02-20,4063,7590,7620,7560,7580,1955800,0.0,1,119.76,-1
2007-02-21,4063,7600,7660,7540,7550,2032500,0.0,0,120.34,-1
2007-02-22,4063,7580,7640,7550,7600,1923900,0.0,1,121.13,1
2007-02-23,4063,7550,7660,7550,7610,1605100,0.0,1,121.55,1
2007-02-26,4063,7690,7690,7570,7630,1093500,0.0,1,120.94,1
2007-02-27,4063,7650,7690,7590,7610,1713900,0.0,0,120.53,-1
2007-02-28,4063,7210,7480,7190,7420,2708800,0.0,0,118.42,-1
2007-03-01,4063,7400,7400,7280,7390,2011000,0.0,1,118.88,-1
2007-03-02,4063,7310,7330,7210,7220,1946400,0.0,0,117.78,-1
2007-03-05,4063,7170,7170,6880,6990,3026100,0.0,0,115.64,-1
2007-03-06,4063,6990,7080,6920,7060,3381400,0.0,1,115.9,1
2007-03-07,4063,7070,7080,6880,6910,2762200,0.0,0,116.82,-1
2007-03-08,4063,6920,7060,6910,7040,2175700,0.0,0,115.86,1
2007-03-09,4063,7140,7170,7050,7070,5881700,0.0,1,117.42,1
2007-03-12,4063,7110,7130,6990,7030,2694000,0.0,1,118.19,-1
2007-03-13,4063,7040,7130,7020,7090,2946700,0.0,0,117.8,1
2007-03-14,4063,6950,6990,6900,6980,3021500,0.0,0,116.24,-1
2007-03-15,4063,7030,7070,6980,7020,2349100,0.0,0,117.27,1
2007-03-16,4063,7050,7070,6900,6950,2358300,0.0,1,117.18,-1
2007-03-19,4063,6940,7150,6930,7140,2247000,0.0,0,116.78,1
2007-03-20,4063,7240,7320,7190,7260,3065500,0.0,1,117.88,1
2007-03-22,4063,7270,7370,7220,7340,3495800,0.0,1,117.59,1
2007-03-23,4063,7350,7370,7240,7310,2650900,0.0,0,118.08,-1
2007-03-26,4063,7330,7360,7240,7290,935200,0.0,0,118.02,-1
2007-03-27,4063,7210,7320,7200,7200,1524200,0.0,1,118.23,-1
2007-03-28,4063,7160,7190,7060,7080,1890500,0.0,1,117.88,-1
2007-03-29,4063,7080,7230,7040,7160,1225600,0.0,1,116.76,1
2007-03-30,4063,7170,7200,7120,7190,1146200,0.0,0,118.09,1
2007-04-02,4063,7200,7220,7000,7040,1563300,0.0,1,118.0,-1
2007-04-03,4063,7100,7160,7020,7120,1959600,0.0,0,117.82,1
2007-04-04,4063,7160,7310,7140,7310,1921000,0.0,-1,118.9,1
2007-04-05,4063,7310,7370,7300,7340,1939700,0.0,1,118.73,1
2007-04-06,4063,7350,7460,7350,7420,1991400,0.0,0,118.84,1
2007-04-09,4063,7500,7640,7450,7640,2512500,0.0,1,119.42,1
2007-04-10,4063,7600,7760,7590,7740,3556800,0.0,0,119.21,1
2007-04-11,4063,7760,7770,7710,7740,2075500,0.0,0,119.28,0
2007-04-12,4063,7730,7740,7660,7740,1509100,0.0,1,119.39,0
2007-04-13,4063,7790,7790,7630,7670,1905200,0.0,0,118.98,-1
2007-04-16,4063,7720,7840,7700,7800,2071800,0.0,0,119.23,1
2007-04-17,4063,7850,7880,7720,7780,2645500,0.0,1,119.64,-1
2007-04-18,4063,7790,7860,7760,7830,1439400,0.0,0,118.77,1
2007-04-19,4063,7840,7840,7560,7690,2479800,0.0,1,118.4,-1
