mod,model_dict,early_stop,num_epochs,input_size,hidden_size,num_layers,num_classes,batch_size,days_num,best_accuracy,best_f1,upper_recall,upper_precision,downer_recall,downer_precision,TP,FP,FN,TN
3,pth/short/rnn/0_0.pth,1,10,4,512,2,2,32,5,50.61,0.3409,0.4,0.0007173601147776184,0.5062034739454094,0.9989506820566632,2,2786,3,2856
3,pth/short/rnn/0_1.pth,1,10,5,512,2,2,32,5,50.63,0.3403,None,0.0,0.5062865238179565,None,0,2788,0,2859
