Date,code,open,high,low,close,volume,news,rate,Dollar,label
2007-01-04,6594,9300,9300,9150,9220,13600,0.0,1,119.43,0
2007-01-05,6594,9240,9270,9070,9090,21200,0.0,0,118.7,-1
2007-01-09,6594,9020,9020,8890,8900,42000,0.0,1,118.82,-1
2007-01-10,6594,8910,8910,8700,8720,68100,0.0,1,119.43,-1
2007-01-11,6594,8740,8770,8660,8700,25200,0.0,0,119.67,-1
2007-01-12,6594,8800,8850,8790,8830,52800,0.0,1,120.67,1
2007-01-15,6594,8870,8950,8870,8930,23700,0.0,0,120.14,1
2007-01-16,6594,8930,9020,8930,8980,20800,0.0,0,120.61,1
2007-01-17,6594,8920,8980,8840,8950,26800,0.0,1,120.89,-1
2007-01-18,6594,8940,8980,8900,8920,20900,0.0,0,120.72,-1
2007-01-19,6594,8990,8990,8890,8890,13200,0.0,0,121.42,-1
2007-01-22,6594,8930,8970,8880,8930,13300,0.0,0,121.37,1
2007-01-23,6594,8920,8920,8830,8830,29100,0.0,0,121.65,-1
2007-01-24,6594,8850,8900,8720,8780,41400,0.0,1,121.79,-1
2007-01-25,6594,8790,8890,8640,8800,37000,0.0,1,121.03,1
2007-01-26,6594,8800,8820,8660,8710,22300,0.0,1,121.57,-1
2007-01-29,6594,8810,8810,8490,8520,66000,0.0,1,121.73,-1
2007-01-30,6594,8520,8620,8520,8550,16800,0.0,0,121.65,1
2007-01-31,6594,8630,8690,8510,8540,27900,0.0,1,121.73,-1
2007-02-01,6594,8570,8610,8380,8440,52400,0.0,1,120.95,-1
2007-02-02,6594,8350,8350,8100,8150,116900,0.0,1,120.85,-1
2007-02-05,6594,8140,8280,8030,8060,81400,0.0,0,121.1,-1
2007-02-06,6594,8090,8140,8060,8110,23800,0.0,1,120.17,1
2007-02-07,6594,8120,8120,7740,7780,96300,0.0,1,120.21,-1
2007-02-08,6594,7810,7930,7810,7860,50400,0.0,0,120.75,1
2007-02-09,6594,7850,7870,7780,7850,158100,0.0,1,121.31,-1
2007-02-13,6594,7950,7950,7830,7850,41000,0.0,0,121.75,0
2007-02-14,6594,7930,7930,7860,7870,45400,0.0,1,121.31,1
2007-02-15,6594,7970,7970,7840,7890,39100,0.0,1,120.34,1
2007-02-16,6594,7870,8060,7860,7960,50500,0.0,1,119.59,1
2007-02-19,6594,8060,8080,7960,7980,36300,0.0,0,119.42,1
2007-02-20,6594,8020,8100,7990,8060,29100,0.0,0,119.76,1
2007-02-21,6594,8120,8240,8120,8200,70900,0.0,1,120.34,1
2007-02-22,6594,8250,8250,8080,8100,40100,0.0,0,121.13,-1
2007-02-23,6594,8170,8200,7990,8180,29000,0.0,0,121.55,1
2007-02-26,6594,8210,8240,8040,8070,30100,0.0,1,120.94,-1
2007-02-27,6594,8080,8080,7900,8000,34700,0.0,0,120.53,-1
2007-02-28,6594,7570,7870,7560,7690,73500,0.0,0,118.42,-1
2007-03-01,6594,7790,7790,7580,7610,67400,0.0,1,118.88,-1
2007-03-02,6594,7610,7730,7570,7660,40300,0.0,1,117.78,1
2007-03-05,6594,7470,7500,7230,7260,58300,0.0,0,115.64,-1
2007-03-06,6594,7160,7390,7160,7350,31600,0.0,0,115.9,1
2007-03-07,6594,7500,7500,7250,7290,36700,0.0,0,116.82,-1
2007-03-08,6594,7220,7400,7170,7240,50500,0.0,1,115.86,-1
2007-03-09,6594,7250,7320,7200,7200,146300,0.0,0,117.42,-1
2007-03-12,6594,7270,7400,7270,7360,22900,0.0,1,118.19,1
2007-03-13,6594,7430,7620,7410,7530,58800,0.0,1,117.8,1
2007-03-14,6594,7430,7560,7340,7390,52500,0.0,0,116.24,-1
2007-03-15,6594,7490,7550,7360,7440,41900,0.0,0,117.27,1
2007-03-16,6594,7500,7690,7450,7590,44300,0.0,1,117.18,1
2007-03-19,6594,7650,7790,7590,7740,35900,0.0,1,116.78,1
2007-03-20,6594,7940,7950,7820,7830,38400,0.0,1,117.88,1
2007-03-22,6594,7950,7980,7870,7890,30100,0.0,0,117.59,1
2007-03-23,6594,7940,7940,7810,7820,28000,0.0,1,118.08,-1
2007-03-26,6594,7850,7900,7810,7820,14200,0.0,0,118.02,0
2007-03-27,6594,7800,7800,7660,7710,26300,0.0,-1,118.23,-1
2007-03-28,6594,7630,7700,7560,7630,19300,0.0,1,117.88,-1
2007-03-29,6594,7630,7630,7450,7600,16400,0.0,0,116.76,-1
2007-03-30,6594,7590,7670,7590,7620,10400,0.0,1,118.09,1
2007-04-02,6594,7680,7700,7480,7490,31100,0.0,0,118.0,-1
2007-04-03,6594,7570,7570,7470,7480,19000,0.0,0,117.82,-1
2007-04-04,6594,7580,7750,7530,7710,23000,0.0,1,118.9,1
2007-04-05,6594,7740,7740,7630,7640,13000,0.0,0,118.73,-1
2007-04-06,6594,7700,7770,7640,7690,12900,0.0,0,118.84,1
2007-04-09,6594,7820,7850,7790,7850,19100,0.0,1,119.42,1
2007-04-10,6594,7840,7840,7620,7690,26300,0.0,0,119.21,-1
2007-04-11,6594,7660,7660,7530,7610,17700,0.0,1,119.28,-1
2007-04-12,6594,7550,7560,7490,7530,40600,0.0,0,119.39,-1
2007-04-13,6594,7520,7550,7350,7360,31200,0.0,0,118.98,-1
2007-04-16,6594,7430,7560,7400,7400,30000,0.0,0,119.23,1
2007-04-17,6594,7530,7560,7400,7440,32900,0.0,-1,119.64,1
2007-04-18,6594,7500,7570,7410,7420,30300,0.0,0,118.77,-1
2007-04-19,6594,7430,7450,7350,7360,39200,0.0,1,118.4,-1
2007-04-20,6594,7360,7360,7250,7290,27500,0.0,1,118.74,-1
2007-04-23,6594,7220,7270,7120,7120,56400,0.0,1,119.0,-1
2007-04-24,6594,7120,7130,7000,7020,47600,0.0,0,118.41,-1
2007-04-25,6594,7030,7200,7030,7170,32700,0.0,1,118.54,1
2007-04-26,6594,7450,7530,7330,7530,62700,0.0,1,118.71,1
2007-04-27,6594,7630,7750,7550,7640,64100,0.0,0,119.78,1
2007-05-01,6594,7540,7550,7380,7380,38900,0.0,0,119.59,-1
2007-05-02,6594,7390,7410,7240,7280,40500,0.0,-1,119.98,-1
2007-05-07,6594,7310,7340,7150,7190,60600,0.0,1,120.11,-1
2007-05-08,6594,7220,7220,7130,7140,18300,0.0,1,120.14,-1
2007-05-09,6594,7140,7230,7030,7070,40300,0.0,0,119.77,-1
2007-05-10,6594,7100,7150,7100,7120,33100,0.0,1,120.21,1
2007-05-11,6594,7110,7110,7020,7070,37300,0.0,0,119.97,-1
2007-05-14,6594,7170,7180,7010,7030,30100,0.0,1,120.22,-1
2007-05-15,6594,7020,7020,6860,6880,69300,0.0,0,120.58,-1
2007-05-16,6594,6890,7000,6850,6910,30300,0.0,1,120.3,1
2007-05-17,6594,6940,6990,6890,6890,24900,0.0,1,120.88,-1
2007-05-18,6594,6920,7020,6910,6980,32300,0.0,0,121.44,1
2007-05-21,6594,7000,7070,6940,6950,26200,0.0,1,121.28,-1
2007-05-22,6594,6930,7060,6820,7030,40800,0.0,0,121.46,1
2007-05-23,6594,7130,7240,7120,7210,31800,0.0,1,121.7,1
2007-05-24,6594,7210,7340,7140,7290,35300,0.0,0,121.62,1
2007-05-25,6594,7200,7290,7170,7280,30500,0.0,0,121.19,-1
2007-05-28,6594,7290,7370,7290,7350,21000,0.0,1,121.68,1
2007-05-29,6594,7390,7520,7390,7480,34900,0.0,0,121.76,1
2007-05-30,6594,7490,7510,7300,7360,40400,0.0,0,121.61,-1
2007-05-31,6594,7400,7500,7320,7390,30900,0.0,0,121.67,1
2007-06-01,6594,7400,7470,7350,7360,33300,0.0,1,121.83,-1
2007-06-04,6594,7380,7410,7210,7260,52100,0.0,1,122.07,-1
2007-06-05,6594,7240,7260,7200,7260,24900,0.0,1,121.79,0
2007-06-06,6594,7230,7230,7120,7140,31100,0.0,0,121.5,-1
2007-06-07,6594,7120,7140,7080,7120,39100,0.0,0,121.02,-1
2007-06-08,6594,7130,7140,7100,7120,173800,0.0,1,121.33,0
2007-06-11,6594,7140,7160,7050,7060,53000,0.0,1,121.68,-1
2007-06-12,6594,7050,7070,6970,7040,28900,0.0,0,121.75,-1
2007-06-13,6594,6980,7020,6950,6960,44000,0.0,1,121.7,-1
2007-06-14,6594,6980,7020,6890,6910,49000,0.0,0,122.8,-1
2007-06-15,6594,6960,7020,6910,7020,39700,0.0,0,123.15,1
2007-06-18,6594,7200,7220,7110,7120,27000,0.0,0,123.54,1
2007-06-19,6594,7120,7120,7020,7020,42000,0.0,0,123.72,-1
2007-06-20,6594,7030,7110,7020,7100,26200,0.0,0,123.45,1
2007-06-21,6594,7120,7150,7080,7110,42600,0.0,-1,123.68,1
2007-06-22,6594,7130,7210,7110,7180,37500,0.0,0,123.95,1
2007-06-25,6594,7170,7260,7120,7160,29200,0.0,1,123.92,-1
2007-06-26,6594,7150,7160,7020,7040,22800,0.0,1,123.43,-1
2007-06-27,6594,6990,7010,6930,6960,31600,0.0,1,123.04,-1
2007-06-28,6594,7020,7060,6990,6990,18300,0.0,0,123.09,1
2007-06-29,6594,7110,7260,7090,7250,45200,0.0,1,123.27,1
2007-07-02,6594,7240,7370,7220,7370,43500,0.0,1,123.31,1
2007-07-03,6594,7390,7480,7280,7330,42700,0.0,0,122.48,-1
2007-07-04,6594,7350,7410,7350,7350,32800,0.0,1,122.46,1
2007-07-05,6594,7360,7430,7360,7410,27700,0.0,1,122.87,1
2007-07-06,6594,7450,7480,7380,7390,41400,0.0,0,123.03,-1
2007-07-09,6594,7410,7470,7290,7290,36600,0.0,0,123.51,-1
2007-07-10,6594,7250,7260,7190,7240,30900,0.0,0,123.29,-1
2007-07-11,6594,7190,7230,7110,7170,41600,0.0,1,121.8,-1
2007-07-12,6594,7150,7150,7070,7150,39400,0.0,0,122.37,-1
2007-07-13,6594,7200,7230,7140,7230,43900,0.0,1,122.68,1
2007-07-17,6594,7300,7300,7030,7040,60500,0.0,1,122.04,-1
2007-07-18,6594,7070,7090,7010,7010,12500,0.0,0,122.01,-1
