Date,code,open,high,low,close,volume,news,rate,Dollar,label
2007-01-04,6273,17030,17140,16860,16910,118300,0,1,119.43,0
2007-01-05,6273,16920,16980,16450,16510,264800,0,0,118.7,-1
2007-01-09,6273,16520,17070,16430,17050,476400,0,1,118.82,1
2007-01-10,6273,17010,17010,16540,16710,346100,0,1,119.43,-1
2007-01-11,6273,16860,16980,16780,16900,312100,0,0,119.67,1
2007-01-12,6273,17100,17470,17060,17340,410200,0,1,120.67,1
2007-01-15,6273,17600,17840,17550,17740,272300,0,0,120.14,1
2007-01-16,6273,17820,17930,17640,17680,184100,0,0,120.61,-1
2007-01-17,6273,17520,18060,17520,17970,355700,0,1,120.89,1
2007-01-18,6273,17980,18210,17730,18030,344200,0,0,120.72,1
2007-01-19,6273,17630,17840,17410,17470,362500,0,0,121.42,-1
2007-01-22,6273,17790,18170,17740,18000,507300,0,0,121.37,1
2007-01-23,6273,17970,18070,17850,18000,338300,0,0,121.65,0
2007-01-24,6273,18150,18270,18010,18110,435600,0,1,121.79,1
2007-01-25,6273,18020,18110,17840,17870,170100,0,1,121.03,-1
2007-01-26,6273,17670,17700,17390,17540,375400,0,1,121.57,-1
2007-01-29,6273,16770,17640,16710,17400,495400,0,1,121.73,-1
2007-01-30,6273,17430,17530,17080,17220,292500,0,0,121.65,-1
2007-01-31,6273,17410,17450,17150,17200,384900,0,1,121.73,-1
2007-02-01,6273,17330,17440,17210,17260,133200,0,1,120.95,1
2007-02-02,6273,17500,17510,17190,17270,282700,0,1,120.85,1
2007-02-05,6273,17370,17370,16880,17010,226300,0,0,121.1,-1
2007-02-06,6273,17110,17340,16850,16910,307100,0,1,120.17,-1
2007-02-07,6273,16910,16980,16460,16530,275600,0,1,120.21,-1
2007-02-08,6273,16590,16670,16380,16470,286700,0,0,120.75,-1
2007-02-09,6273,16540,16900,16460,16810,334800,0,1,121.31,1
2007-02-13,6273,16210,16300,15920,15950,743200,0,0,121.75,-1
2007-02-14,6273,15960,16290,15950,16080,376200,0,1,121.31,1
2007-02-15,6273,15980,15980,15600,15880,558300,0,1,120.34,-1
2007-02-16,6273,15770,15820,15530,15660,653400,0,1,119.59,-1
2007-02-19,6273,15740,16000,15710,15960,343300,0,0,119.42,1
2007-02-20,6273,16080,16120,15850,16090,354200,0,0,119.76,1
2007-02-21,6273,15990,16060,15850,15990,270800,0,1,120.34,-1
2007-02-22,6273,16190,16270,16070,16220,488800,0,0,121.13,1
2007-02-23,6273,16270,16530,16150,16480,348200,0,0,121.55,1
2007-02-26,6273,16490,16490,16160,16280,306400,0,1,120.94,-1
2007-02-27,6273,16300,16410,16110,16240,201600,0,0,120.53,-1
2007-02-28,6273,15240,15810,15240,15800,420300,0,0,118.42,-1
2007-03-01,6273,16000,16030,15700,15820,418700,0,1,118.88,1
2007-03-02,6273,15800,15800,15470,15610,246800,0,1,117.78,-1
2007-03-05,6273,15210,15280,14970,15010,288400,0,0,115.64,-1
2007-03-06,6273,14900,15500,14860,15420,393200,0,0,115.9,1
2007-03-07,6273,15460,15480,15000,15010,233300,0,0,116.82,-1
2007-03-08,6273,15040,15400,15010,15400,135100,0,1,115.86,1
2007-03-09,6273,15500,15600,15320,15370,281000,0,0,117.42,-1
2007-03-12,6273,15500,15900,15490,15700,306400,0,1,118.19,1
2007-03-13,6273,15900,15940,15770,15800,511100,0,1,117.8,1
2007-03-14,6273,15640,15640,15390,15430,594500,0,0,116.24,-1
2007-03-15,6273,15440,15510,15270,15430,342800,0,0,117.27,0
2007-03-16,6273,15450,15570,15380,15400,356500,0,1,117.18,-1
2007-03-19,6273,15480,15840,15450,15810,337600,0,1,116.78,1
2007-03-20,6273,15900,16180,15810,16180,592600,0,1,117.88,1
2007-03-22,6273,16300,16440,16250,16290,318900,0,0,117.59,1
2007-03-23,6273,16290,16370,15990,16020,377300,0,1,118.08,-1
2007-03-26,6273,16050,16250,16040,16130,261500,0,0,118.02,1
2007-03-27,6273,16080,16220,15900,15950,258600,0,-1,118.23,-1
2007-03-28,6273,15750,15930,15540,15610,427900,0,1,117.88,-1
2007-03-29,6273,15440,15830,15410,15730,248800,0,0,116.76,1
2007-03-30,6273,15970,16090,15700,15810,205400,0,1,118.09,1
2007-04-02,6273,15710,15810,15340,15340,194500,0,0,118.0,-1
2007-04-03,6273,15540,15680,15460,15650,282400,0,0,117.82,1
2007-04-04,6273,16000,16020,15810,15940,226300,0,1,118.9,1
2007-04-05,6273,15820,15950,15760,15920,167100,0,0,118.73,-1
2007-04-06,6273,15820,16000,15770,15840,93800,0,0,118.84,-1
2007-04-09,6273,15830,16130,15830,16130,142100,0,1,119.42,1
2007-04-10,6273,16140,16140,16020,16070,130200,0,0,119.21,-1
2007-04-11,6273,16060,16060,15880,15980,176200,0,1,119.28,-1
2007-04-12,6273,15890,15900,15640,15770,168800,0,0,119.39,-1
2007-04-13,6273,15750,15790,15490,15610,219000,0,0,118.98,-1
2007-04-16,6273,15500,15840,15490,15770,194300,0,0,119.23,1
2007-04-17,6273,15790,15950,15460,15570,275800,0,-1,119.64,-1
2007-04-18,6273,15410,15600,15220,15380,482600,0,0,118.77,-1
2007-04-19,6273,15240,15340,14980,15140,367200,0,1,118.4,-1
2007-04-20,6273,15130,15240,15090,15240,187600,0,1,118.74,1
2007-04-23,6273,15490,15600,15250,15290,308800,0,1,119.0,1
2007-04-24,6273,15100,15260,15060,15160,253000,0,0,118.41,-1
2007-04-25,6273,15190,15190,15000,15070,245600,0,1,118.54,-1
2007-04-26,6273,15270,15560,15200,15460,308700,0,1,118.71,1
2007-04-27,6273,15260,15660,15260,15410,434200,0,0,119.78,-1
2007-05-01,6273,15230,15320,14950,14980,492900,0,0,119.59,-1
2007-05-02,6273,15000,15020,14780,14920,173200,0,-1,119.98,-1
2007-05-07,6273,14930,14930,14720,14830,342900,0,1,120.11,-1
2007-05-08,6273,14760,14770,14510,14570,620300,0,1,120.14,-1
2007-05-09,6273,14740,15060,14730,15060,773100,0,0,119.77,1
2007-05-10,6273,15070,15210,14870,14950,223800,0,1,120.21,-1
2007-05-11,6273,14950,14960,14710,14820,229800,0,0,119.97,-1
2007-05-14,6273,14930,14950,14510,14580,352800,0,1,120.22,-1
2007-05-15,6273,14560,14570,14310,14340,274400,0,0,120.58,-1
2007-05-16,6273,13940,14460,13800,14460,575500,0,1,120.3,1
2007-05-17,6273,14260,14420,14160,14280,480600,0,1,120.88,-1
2007-05-18,6273,14290,14350,14060,14260,290200,0,0,121.44,-1
2007-05-21,6273,14270,14430,14100,14390,267600,0,1,121.28,1
2007-05-22,6273,14700,14770,14550,14740,448100,0,0,121.46,1
2007-05-23,6273,15050,15130,14950,15000,554300,0,1,121.7,1
2007-05-24,6273,15010,15240,15000,15180,531000,0,0,121.62,1
2007-05-25,6273,15170,15230,15100,15170,432100,0,0,121.19,-1
