Date,code,open,high,low,close,volume,news,rate,Dollar,label
2022-01-04,8766,6414.0,6599.0,6414.0,6593.0,1601000,0.0,1,115.43,0
2022-01-05,8766,6693.0,6829.0,6691.0,6807.0,2102900,0.0,1,116.23,1
2022-01-06,8766,6900.0,6935.0,6830.0,6876.0,2211700,0.0,1,116.05,1
2022-01-07,8766,6920.0,6984.0,6886.0,6933.0,2025100,0.0,0,116.01,1
2022-01-11,8766,6914.0,7030.0,6873.0,7010.0,2174400,0.0,0,115.34,1
2022-01-12,8766,7000.0,7059.0,6943.0,6990.0,1874900,0.0,1,115.34,-1
2022-01-13,8766,6933.0,7062.0,6911.0,7060.0,1686400,0.0,0,114.68,1
2022-01-14,8766,7009.0,7045.0,6940.0,6995.0,1947200,0.0,-1,114.1,-1
2022-01-17,8766,6994.0,7059.0,6925.0,6954.0,1559300,0.0,1,114.35,-1
2022-01-18,8766,6995.0,7037.0,6875.0,6920.0,1474000,0.0,0,114.57,-1
2022-01-19,8766,6851.0,6936.0,6826.0,6853.0,1718300,0.0,0,114.72,-1
2022-01-20,8766,6859.0,6881.0,6727.0,6801.0,1877200,0.0,0,114.32,-1
2022-01-21,8766,6729.0,6770.0,6685.0,6730.0,1827000,0.0,1,113.85,-1
2022-01-24,8766,6691.0,6805.0,6688.0,6789.0,1190000,0.0,0,113.84,1
2022-01-25,8766,6726.0,6730.0,6623.0,6688.0,1674000,0.0,0,114.02,-1
2022-01-26,8766,6788.0,6814.0,6729.0,6781.0,1605800,0.0,-1,113.84,1
2022-01-27,8766,6881.0,6888.0,6773.0,6792.0,2342900,0.0,0,114.68,1
2022-01-28,8766,6892.0,7028.0,6867.0,6991.0,2432800,0.0,-1,115.47,1
2022-01-31,8766,6891.0,6891.0,6757.0,6830.0,2288300,0.0,1,115.44,-1
2022-02-01,8766,6804.0,6876.0,6792.0,6823.0,1568100,0.0,1,115.17,-1
2022-02-02,8766,6804.0,6869.0,6770.0,6863.0,1784000,0.0,1,114.71,1
2022-02-03,8766,6803.0,6916.0,6790.0,6897.0,1530000,0.0,1,114.47,1
2022-02-04,8766,6946.0,7049.0,6936.0,6986.0,1764800,0.0,0,115.01,1
2022-02-07,8766,6953.0,7087.0,6926.0,7087.0,1577900,0.0,1,115.28,1
2022-02-08,8766,7151.0,7170.0,7041.0,7090.0,1438000,0.0,0,115.3,1
2022-02-09,8766,7080.0,7160.0,7063.0,7074.0,1282700,0.0,0,115.56,-1
2022-02-10,8766,7080.0,7133.0,7032.0,7103.0,1165600,0.0,1,115.63,1
2022-02-14,8766,7032.0,7092.0,6988.0,7040.0,1497000,0.0,1,115.43,-1
2022-02-15,8766,7158.0,7196.0,6880.0,6891.0,2179800,0.0,1,115.43,-1
2022-02-16,8766,7000.0,7070.0,6963.0,7056.0,1378900,0.0,0,115.7,1
2022-02-17,8766,7015.0,7070.0,6964.0,7061.0,1360800,0.0,1,115.48,1
2022-02-18,8766,6991.0,7061.0,6967.0,7038.0,1241800,0.0,1,114.96,-1
2022-02-21,8766,7033.0,7094.0,6941.0,7033.0,1035200,0.0,-1,115.08,-1
2022-02-22,8766,6905.0,6951.0,6822.0,6878.0,1394300,0.0,1,114.78,-1
2022-02-24,8766,6835.0,6896.0,6750.0,6813.0,1719500,0.0,1,114.96,-1
2022-02-25,8766,6724.0,6738.0,6482.0,6566.0,2578800,0.0,1,115.58,-1
2022-02-28,8766,6466.0,6584.0,6460.0,6574.0,3012900,1.0,-1,115.59,1
2022-03-01,8766,6669.0,6689.0,6546.0,6550.0,1756300,0.0,1,115.28,-1
2022-03-02,8766,6389.0,6399.0,6268.0,6284.0,2486300,0.0,1,115.02,-1
2022-03-03,8766,6409.0,6493.0,6368.0,6448.0,2054800,0.0,1,115.63,1
2022-03-04,8766,6439.0,6498.0,6352.0,6364.0,2072800,0.0,1,115.42,-1
2022-03-07,8766,6220.0,6295.0,6212.0,6276.0,2178000,0.0,0,115.02,-1
2022-03-08,8766,6195.0,6239.0,6138.0,6152.0,1911100,0.0,-1,115.49,-1
2022-03-09,8766,6111.0,6305.0,6111.0,6242.0,2640800,0.0,1,115.89,1
2022-03-10,8766,6384.0,6506.0,6380.0,6434.0,2583300,0.0,0,116.01,1
2022-03-11,8766,6340.0,6431.0,6339.0,6426.0,2254100,0.0,1,116.32,-1
2022-03-14,8766,6555.0,6688.0,6532.0,6642.0,1977500,0.0,1,117.59,1
2022-03-15,8766,6737.0,6935.0,6716.0,6889.0,2432000,0.0,1,118.25,1
2022-03-16,8766,6979.0,7044.0,6882.0,6915.0,2583100,0.0,1,118.39,1
2022-03-17,8766,7038.0,7070.0,6919.0,6961.0,1931700,0.0,-1,118.99,1
2022-03-18,8766,6999.0,7115.0,6957.0,7093.0,2967500,0.0,1,118.7,1
2022-03-22,8766,7447.0,7565.0,7402.0,7513.0,3597000,0.0,-1,120.02,1
2022-03-23,8766,7482.0,7503.0,7348.0,7470.0,3104900,0.0,1,121.16,-1
2022-03-24,8766,7435.0,7495.0,7373.0,7474.0,2342300,0.0,1,121.11,1
2022-03-25,8766,7439.0,7484.0,7313.0,7325.0,1769200,0.0,0,122.04,-1
2022-03-28,8766,7435.0,7457.0,7331.0,7395.0,1500900,0.0,-1,122.2,1
2022-03-29,8766,7476.0,7492.0,7368.0,7434.0,1733300,0.0,0,124.25,1
2022-03-30,8766,7308.0,7333.0,7211.0,7300.0,1585200,0.0,1,122.56,-1
2022-03-31,8766,7288.0,7289.0,7100.0,7128.0,2004700,0.0,1,122.41,-1
2022-04-01,8766,7020.0,7129.0,6992.0,7081.0,2697000,0.0,0,122.21,-1
2022-04-04,8766,7110.0,7127.0,6987.0,7077.0,1509400,0.0,1,122.44,-1
