Date,code,open,high,low,close,volume,news,rate,Dollar,label
2022-01-04,6861,73000,73890,72200,73820,493100,0.0,1,115.43,0
2022-01-05,6861,73250,73970,73150,73860,299100,0.0,1,116.23,1
2022-01-06,6861,72100,72410,69900,69900,707300,0.0,1,116.05,-1
2022-01-07,6861,69900,70010,67330,67850,702900,0.0,0,116.01,-1
2022-01-11,6861,64600,65920,62380,62500,1565600,0.0,0,115.34,-1
2022-01-12,6861,65000,65880,64720,65610,1055500,0.0,1,115.34,1
2022-01-13,6861,66030,66370,63740,64210,594400,0.0,0,114.68,-1
2022-01-14,6861,61940,63190,61300,62160,1119900,-1.0,-1,114.1,-1
2022-01-17,6861,61450,62630,60940,62200,568800,0.0,1,114.35,1
2022-01-18,6861,63120,64300,62710,63500,721000,0.0,0,114.57,1
2022-01-19,6861,62500,63050,61810,62050,643000,0.0,0,114.72,-1
2022-01-20,6861,61110,62250,60520,61940,588500,0.0,0,114.32,-1
2022-01-21,6861,60940,61000,60000,60700,588000,0.0,1,113.85,-1
2022-01-24,6861,59700,60140,59170,60050,528900,0.0,0,113.84,-1
2022-01-25,6861,60730,61090,58110,58780,675300,0.0,0,114.02,-1
2022-01-26,6861,58680,58700,57280,57720,563500,0.0,-1,113.84,-1
2022-01-27,6861,58370,58740,56250,56360,820100,0.0,0,114.68,-1
2022-01-28,6861,57980,58090,56110,57340,603600,1.0,-1,115.47,1
2022-01-31,6861,56340,58910,56020,58230,571000,0.5,1,115.44,1
2022-02-01,6861,60230,61260,59030,59410,737100,1.0,1,115.17,1
2022-02-02,6861,62410,63120,61980,63080,1162200,0.0,1,114.71,1
2022-02-03,6861,62000,62190,60060,60060,826400,1.0,1,114.47,-1
2022-02-04,6861,59090,60110,58450,59990,850600,0.7,0,115.01,-1
2022-02-07,6861,60200,60200,58510,58760,452900,0.0,1,115.28,-1
2022-02-08,6861,59760,60170,58220,58460,572200,0.0,0,115.3,-1
2022-02-09,6861,58700,59580,58110,59500,413200,0.0,0,115.56,1
2022-02-10,6861,60170,60720,59510,60360,595800,0.0,1,115.63,1
2022-02-14,6861,56510,57330,56250,56820,814500,0.0,1,115.43,-1
2022-02-15,6861,57020,57870,56700,57590,592100,0.0,1,115.43,1
2022-02-16,6861,58200,58500,56900,57380,720300,1.0,0,115.7,-1
2022-02-17,6861,56400,57070,54310,54880,1238000,0.0,1,115.48,-1
2022-02-18,6861,54500,54810,53440,53970,863100,0.0,1,114.96,-1
2022-02-21,6861,52000,53270,51400,52500,748600,0.0,-1,115.08,-1
2022-02-22,6861,51500,52890,51410,52210,579000,0.0,1,114.78,-1
2022-02-24,6861,52250,53350,51820,52610,1024100,0.0,1,114.96,1
2022-02-25,6861,53450,55250,53360,54480,919000,0.0,1,115.58,1
2022-02-28,6861,54240,54380,53240,53780,742100,0.0,-1,115.59,-1
2022-03-01,6861,54530,54580,53670,54140,607400,0.0,1,115.28,1
2022-03-02,6861,53400,53590,52750,53030,569000,0.0,1,115.02,-1
2022-03-03,6861,54140,54690,53650,54280,599200,1.0,1,115.63,1
2022-03-04,6861,54270,54710,53410,53850,689400,0.0,1,115.42,-1
2022-03-07,6861,52100,52870,51660,51800,620300,0.0,0,115.02,-1
2022-03-08,6861,51220,54170,50940,52830,1075000,0.0,-1,115.49,1
2022-03-09,6861,52830,53780,52500,52700,709900,0.0,1,115.89,-1
2022-03-10,6861,54320,54550,52940,54300,658300,0.0,0,116.01,1
2022-03-11,6861,52680,52900,50750,51200,1005100,0.0,1,116.32,-1
2022-03-14,6861,51300,52500,50910,51050,622600,0.0,1,117.59,-1
2022-03-15,6861,50310,51150,50180,50550,484700,0.0,1,118.25,-1
2022-03-16,6861,51110,52460,51040,52310,671700,0.0,1,118.39,1
2022-03-17,6861,54290,55270,53900,54280,676700,0.0,-1,118.99,1
2022-03-18,6861,54940,55400,54500,54800,746400,0.0,1,118.7,1
2022-03-22,6861,54320,55500,54220,54890,740500,0.0,-1,120.02,1
2022-03-23,6861,56020,57780,56000,57390,759600,0.0,1,121.16,1
2022-03-24,6861,57060,57760,56170,57760,583100,0.0,1,121.11,1
2022-03-25,6861,58000,58240,56300,56560,671500,0.7,0,122.04,-1
2022-03-28,6861,56120,56940,55860,56500,418900,1.0,-1,122.2,-1
2022-03-29,6861,57490,57490,56290,56990,590100,0.0,0,124.25,1
2022-03-30,6861,58300,58820,56920,57240,676700,0.0,1,122.56,1
2022-03-31,6861,57390,58340,57100,57250,725800,0.0,1,122.41,1
2022-04-01,6861,57030,58710,56930,58160,618900,0.0,0,122.21,1
2022-04-04,6861,57530,58180,57510,58170,345200,0.0,1,122.44,1
2022-04-05,6861,59350,59450,58220,58770,467700,0.0,1,122.58,1
2022-04-06,6861,58000,58680,57520,58380,508600,0.0,1,123.9,-1
2022-04-07,6861,57280,57760,56600,57120,479200,0.0,1,123.66,-1
2022-04-08,6861,58080,58350,57120,57760,554800,-0.5,0,123.9,1
2022-04-11,6861,56600,56920,55870,56370,447900,0.0,1,124.63,-1
2022-04-12,6861,55370,55780,54410,54420,478400,0.0,0,125.48,-1
2022-04-13,6861,54980,56440,54920,56020,498900,0.0,1,125.63,1
2022-04-14,6861,55800,56380,55440,56350,351600,0.0,1,125.53,1
2022-04-15,6861,54810,55390,54180,55170,370800,0.0,0,126.39,-1
2022-04-18,6861,54930,55150,54060,54380,288400,0.0,0,126.61,-1
2022-04-19,6861,55120,55420,54440,54760,422500,0.0,1,127.35,1
2022-04-20,6861,54500,55200,53290,53590,829200,1.0,-1,129.44,-1
2022-04-21,6861,53400,54590,52860,54440,643900,1.0,0,128.23,1
2022-04-22,6861,52910,53680,52660,53440,616000,0.0,0,128.66,-1
2022-04-25,6861,51000,51780,50930,51070,726200,0.0,1,128.81,-1
2022-04-26,6861,51010,51400,50490,50590,854400,0.0,1,127.63,-1
2022-04-27,6861,49700,50810,48930,50320,917000,1.0,0,127.66,-1
2022-04-28,6861,53240,53250,51700,52850,1007100,0.3,0,128.86,1
2022-05-02,6861,54850,54850,52110,52240,825000,0.0,0,130.12,-1
2022-05-06,6861,52840,52850,51610,52250,612200,0.0,0,130.53,1
2022-05-09,6861,51400,51490,50240,50240,519300,0.0,1,130.77,-1
2022-05-10,6861,49370,50710,49040,50400,589500,0.0,1,130.0,1
2022-05-11,6861,50200,50970,50040,50330,484900,0.0,1,130.33,-1
2022-05-12,6861,49230,49830,48570,49170,750800,0.0,1,129.72,-1
2022-05-13,6861,50170,51390,49840,51020,631300,0.0,0,128.94,1
2022-05-16,6861,51960,52240,51310,51330,553300,0.0,1,129.55,1
2022-05-17,6861,51290,51520,50880,51350,446800,0.0,1,129.3,1
2022-05-18,6861,51900,52460,51120,51750,559800,0.0,0,129.32,1
2022-05-19,6861,49860,50390,49670,50260,794100,0.0,0,128.43,-1
2022-05-20,6861,49360,49730,48620,49060,1038400,0.0,1,127.86,-1
2022-05-23,6861,49740,49780,49070,49500,631500,0.0,0,127.75,1
2022-05-24,6861,49500,49740,48740,48750,578500,0.0,-1,127.89,-1
2022-05-25,6861,48510,49560,48450,49360,660000,0.0,0,126.99,1
2022-05-26,6861,49500,49710,49070,49390,529800,0.0,1,127.51,1
2022-05-27,6861,49910,49930,48950,49050,710400,0.0,0,127.03,-1
