Date,code,open,high,low,close,volume,news,rate,Dollar,label
2022-01-04,6273,79030,79190,77780,79080,143100,0,1,115.43,0
2022-01-05,6273,78830,79250,78600,79010,94100,0,1,116.23,-1
2022-01-06,6273,78000,78180,76670,76810,111600,0,1,116.05,-1
2022-01-07,6273,76880,77090,74800,75580,133700,0,0,116.01,-1
2022-01-11,6273,73330,73940,72370,72510,253600,0,0,115.34,-1
2022-01-12,6273,73500,74920,73140,74870,157600,0,1,115.34,1
2022-01-13,6273,74570,74570,72200,72220,154300,0,0,114.68,-1
2022-01-14,6273,70500,70500,68270,68330,304500,0,-1,114.1,-1
2022-01-17,6273,68680,68840,67100,67490,214000,0,1,114.35,-1
2022-01-18,6273,67690,68650,66810,67480,205600,0,0,114.57,-1
2022-01-19,6273,67570,68360,66200,66520,273400,0,0,114.72,-1
2022-01-20,6273,66400,67760,65600,67600,201300,0,0,114.32,1
2022-01-21,6273,66400,66400,64400,65610,215700,0,1,113.85,-1
2022-01-24,6273,65400,65720,64350,65480,145400,0,0,113.84,-1
2022-01-25,6273,65630,66030,62760,63690,220800,0,0,114.02,-1
2022-01-26,6273,63960,64150,62390,63370,110300,0,-1,113.84,-1
2022-01-27,6273,63730,63770,60400,61440,219900,0,0,114.68,-1
2022-01-28,6273,63440,64210,61600,63720,270400,0,-1,115.47,1
2022-01-31,6273,63030,64000,62010,63390,205000,0,1,115.44,-1
2022-02-01,6273,65530,66170,63820,64100,179800,0,1,115.17,1
2022-02-02,6273,64800,66490,64350,66420,218700,0,1,114.71,1
2022-02-03,6273,65320,65460,63710,63910,176500,0,1,114.47,-1
2022-02-04,6273,63580,64570,63060,64380,112100,0,0,115.01,1
2022-02-07,6273,64380,64420,63100,63910,143700,0,1,115.28,-1
2022-02-08,6273,64910,65210,63260,63460,156800,0,0,115.3,-1
2022-02-09,6273,63840,64820,63530,64210,137900,0,0,115.56,1
2022-02-10,6273,65650,65910,64990,65750,188900,0,1,115.63,1
2022-02-14,6273,63800,64670,62860,63190,202600,0,1,115.43,-1
2022-02-15,6273,66340,67490,65060,65420,407500,0,1,115.43,1
2022-02-16,6273,67950,69700,67260,69290,445700,0,0,115.7,1
2022-02-17,6273,69140,69300,68130,68710,311700,0,1,115.48,-1
2022-02-18,6273,68670,68750,66620,67630,325900,0,1,114.96,-1
2022-02-21,6273,67510,67710,65560,67490,255100,0,-1,115.08,-1
2022-02-22,6273,65900,67180,65790,67010,245100,0,1,114.78,-1
2022-02-24,6273,67080,67280,65450,65600,319400,0,1,114.96,-1
2022-02-25,6273,66440,68450,66440,68120,262200,0,1,115.58,1
2022-02-28,6273,68050,68880,67200,68050,288300,0,-1,115.59,-1
2022-03-01,6273,69580,70300,69060,69530,299000,0,1,115.28,1
2022-03-02,6273,68060,68990,67960,68410,231600,0,1,115.02,-1
2022-03-03,6273,69320,69700,68850,68980,241900,0,1,115.63,1
2022-03-04,6273,68730,68820,65850,66100,221800,0,1,115.42,-1
2022-03-07,6273,63440,63610,60610,61670,382200,0,0,115.02,-1
2022-03-08,6273,61030,63320,60940,62030,254800,0,-1,115.49,1
2022-03-09,6273,62470,63090,61600,61830,183400,0,1,115.89,-1
2022-03-10,6273,64500,65180,64010,64930,199200,0,0,116.01,1
2022-03-11,6273,63110,63740,61700,62660,237800,0,1,116.32,-1
2022-03-14,6273,63250,64170,62720,62720,153500,0,1,117.59,1
2022-03-15,6273,62150,63280,61330,61490,177600,0,1,118.25,-1
2022-03-16,6273,62290,63330,61820,62880,209900,0,1,118.39,1
2022-03-17,6273,65770,67850,65380,67230,251500,0,-1,118.99,1
2022-03-18,6273,67160,67930,66620,67140,254600,0,1,118.7,-1
2022-03-22,6273,68010,68610,66820,67390,276600,0,-1,120.02,1
2022-03-23,6273,68600,70670,68520,70370,206500,0,1,121.16,1
2022-03-24,6273,69010,71100,68640,71010,173400,0,1,121.11,1
2022-03-25,6273,71860,71940,69610,69850,216500,0,0,122.04,-1
