Date,code,open,high,low,close,volume,news,rate,Dollar,label
2022-01-04,8035,67280,69170,67260,68420,1119800,1.0,1,115.43,0
2022-01-05,8035,67490,68290,67350,67460,882900,0.0,1,116.23,-1
2022-01-06,8035,66000,66670,65010,65010,1058700,1.0,1,116.05,-1
2022-01-07,8035,66090,66260,64610,64920,860300,0.0,0,116.01,-1
2022-01-11,8035,63920,64420,62670,62750,1150800,0.0,0,115.34,-1
2022-01-12,8035,64120,65340,64070,65100,909800,0.0,1,115.34,1
2022-01-13,8035,64960,65680,64600,65330,730700,0.0,0,114.68,1
2022-01-14,8035,65020,65410,64200,65220,1239300,0.0,-1,114.1,-1
2022-01-17,8035,65930,66280,65430,65510,608500,0.0,1,114.35,1
2022-01-18,8035,65690,67100,65150,65560,862900,0.0,0,114.57,1
2022-01-19,8035,63600,63600,61050,61590,1537000,0.0,0,114.72,-1
2022-01-20,8035,60000,61640,59770,61310,1189900,0.0,0,114.32,-1
2022-01-21,8035,59000,59200,56440,57510,1804900,0.0,1,113.85,-1
2022-01-24,8035,56020,58570,55800,58440,1407000,0.0,0,113.84,1
2022-01-25,8035,58600,59170,56400,56870,1445500,1.0,0,114.02,-1
2022-01-26,8035,56010,56840,55170,56410,1328700,-1.0,-1,113.84,-1
2022-01-27,8035,57340,57500,53400,53680,2026700,0.0,0,114.68,-1
2022-01-28,8035,53990,54130,51670,52970,1765000,0.0,-1,115.47,-1
2022-01-31,8035,53310,55340,52690,54730,1206400,0.0,1,115.44,1
2022-02-01,8035,57460,57550,54890,55370,1270800,0.0,1,115.17,1
2022-02-02,8035,55920,57150,55660,56500,1041200,0.0,1,114.71,1
2022-02-03,8035,55640,55980,54580,55200,941700,0.0,1,114.47,-1
2022-02-04,8035,54640,56070,54600,56040,888200,0.0,0,115.01,1
2022-02-07,8035,55800,55800,54680,55270,738700,0.0,1,115.28,-1
2022-02-08,8035,55590,56260,55280,55490,728500,1.0,0,115.3,1
2022-02-09,8035,56170,56490,55600,56130,1076000,0.0,0,115.56,1
2022-02-10,8035,57360,58030,56400,57150,1604300,0.0,1,115.63,1
2022-02-14,8035,55150,57050,55000,56580,1567800,0.0,1,115.43,-1
2022-02-15,8035,56950,57120,55120,55220,1108300,0.0,1,115.43,-1
2022-02-16,8035,57220,58050,56730,57930,1147900,0.0,0,115.7,1
2022-02-17,8035,57640,58900,57530,58220,1277100,0.0,1,115.48,1
2022-02-18,8035,57220,57340,55970,56810,1417400,0.0,1,114.96,-1
2022-02-21,8035,54440,55610,53910,55140,1157500,0.0,-1,115.08,-1
2022-02-22,8035,53140,53700,52320,52910,1449100,0.0,1,114.78,-1
2022-02-24,8035,52520,53850,52400,53500,1778000,0.0,1,114.96,1
2022-02-25,8035,55500,56620,54950,56600,1640000,0.0,1,115.58,1
2022-02-28,8035,55600,56810,54900,55770,1361400,1.0,-1,115.59,-1
2022-03-01,8035,56800,57690,56340,57650,1148400,0.0,1,115.28,1
2022-03-02,8035,56440,57330,56060,56500,1147000,0.0,1,115.02,-1
2022-03-03,8035,57590,57640,56450,56760,855200,0.0,1,115.63,1
2022-03-04,8035,56010,56130,53930,54590,1501900,0.0,1,115.42,-1
2022-03-07,8035,52110,53080,51750,51930,1311800,0.0,0,115.02,-1
2022-03-08,8035,50190,52690,50110,51730,1496200,0.0,-1,115.49,-1
2022-03-09,8035,51950,52660,51140,51740,1187400,0.0,1,115.89,1
2022-03-10,8035,53740,54230,53250,54230,1287200,0.0,0,116.01,1
2022-03-11,8035,54180,54190,52000,52780,1437400,0.0,1,116.32,-1
2022-03-14,8035,52780,54410,52770,53470,943000,0.0,1,117.59,1
2022-03-15,8035,52760,53990,52510,53460,895900,0.0,1,118.25,-1
2022-03-16,8035,54460,55190,53700,55190,1170500,0.0,1,118.39,1
2022-03-17,8035,57190,58090,56890,57870,1194900,0.0,-1,118.99,1
2022-03-18,8035,57970,58540,57350,58360,1012900,0.0,1,118.7,1
2022-03-22,8035,58910,59700,58360,59480,1079500,0.0,-1,120.02,1
